iter	Passed	Remaining
0	0	78
1	1	70
2	2	66
3	2	63
4	3	64
5	4	63
6	4	62
7	5	61
8	6	60
9	6	60
10	7	59
11	8	59
12	8	58
13	9	57
14	10	57
15	10	56
16	11	57
17	12	57
18	13	59
19	14	58
20	15	58
21	16	57
22	17	57
23	17	56
24	18	56
25	19	55
26	20	55
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	27	50
35	28	50
36	29	49
37	29	48
38	30	48
39	31	47
40	32	47
41	33	45
42	34	45
43	35	44
44	36	44
45	37	43
46	38	43
47	39	42
48	40	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	25
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	73	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	79	0
