iter	Passed	Remaining
0	142	142343
1	143	71503
2	144	47860
3	144	36011
4	145	28910
5	145	24176
6	146	20802
7	147	18267
8	148	16296
9	148	14716
10	149	13434
11	150	12358
12	150	11444
13	151	10663
14	151	9979
15	152	9380
16	153	8863
17	153	8398
18	154	7987
19	155	7612
20	155	7271
21	156	6964
22	157	6683
23	157	6423
24	158	6184
25	159	5962
26	159	5758
27	160	5568
28	161	5391
29	161	5228
30	162	5074
31	162	4929
32	163	4795
33	164	4669
34	164	4548
35	165	4435
36	166	4329
37	167	4229
38	168	4147
39	169	4061
40	170	3981
41	171	3900
42	171	3824
43	172	3751
44	173	3680
45	174	3615
46	175	3549
47	175	3486
48	176	3426
49	177	3369
50	178	3313
51	178	3261
52	179	3210
53	180	3162
54	181	3115
55	182	3069
56	183	3029
57	184	2991
58	185	2953
59	186	2915
60	187	2880
61	188	2845
62	189	2812
63	190	2779
64	191	2748
65	192	2718
66	193	2689
67	194	2661
68	195	2634
69	196	2608
70	197	2582
71	198	2557
72	199	2533
73	200	2508
74	201	2483
75	202	2459
76	203	2435
77	204	2411
78	204	2389
79	205	2367
80	206	2345
81	207	2324
82	208	2298
83	208	2278
84	209	2258
85	210	2241
86	211	2223
87	212	2204
88	213	2188
89	214	2171
90	215	2153
91	216	2136
92	217	2122
93	218	2106
94	219	2089
95	220	2073
96	220	2056
97	221	2041
98	222	2025
99	223	2010
100	224	1998
101	225	1983
102	226	1969
103	226	1955
104	227	1941
105	228	1929
106	229	1917
107	230	1905
108	231	1893
109	232	1881
110	233	1869
111	234	1857
112	235	1845
113	236	1834
114	236	1823
115	237	1812
116	238	1799
117	239	1788
118	240	1777
119	240	1766
120	241	1755
121	242	1744
122	243	1736
123	244	1727
124	245	1717
125	246	1709
126	247	1699
127	248	1689
128	248	1680
129	249	1671
130	250	1661
131	251	1653
132	252	1646
133	253	1638
134	254	1631
135	255	1622
136	256	1614
137	257	1605
138	257	1597
139	258	1590
140	259	1583
141	260	1575
142	261	1567
143	262	1560
144	263	1553
145	264	1547
146	265	1541
147	266	1534
148	267	1527
149	268	1520
150	269	1513
151	270	1506
152	270	1499
153	271	1492
154	272	1485
155	273	1480
156	274	1474
157	275	1468
158	276	1462
159	277	1456
160	278	1451
161	279	1447
162	280	1441
163	281	1434
164	282	1428
165	283	1422
166	284	1416
167	284	1410
168	285	1404
169	286	1399
170	287	1393
171	288	1388
172	289	1385
173	290	1379
174	291	1374
175	292	1369
176	293	1365
177	294	1360
178	295	1355
179	296	1349
180	297	1344
181	298	1339
182	299	1336
183	300	1331
184	300	1325
185	301	1320
186	302	1315
187	303	1311
188	304	1306
189	305	1302
190	306	1297
191	307	1293
192	308	1289
193	309	1286
194	310	1281
195	311	1277
196	312	1272
197	312	1267
198	313	1263
199	314	1258
200	315	1254
201	316	1249
202	317	1244
203	318	1241
204	319	1237
205	320	1233
206	320	1229
207	322	1226
208	323	1223
209	324	1219
210	325	1216
211	326	1212
212	327	1209
213	328	1205
214	329	1201
215	330	1198
216	331	1194
217	331	1190
218	332	1186
219	333	1183
220	335	1181
221	336	1179
222	337	1175
223	338	1172
224	339	1170
225	340	1167
226	341	1163
227	342	1160
228	343	1156
229	344	1153
230	345	1149
231	346	1146
232	347	1142
233	348	1139
234	349	1136
235	350	1133
236	351	1130
237	351	1126
238	352	1123
239	354	1121
240	354	1117
241	355	1114
242	356	1110
243	357	1107
244	358	1104
245	359	1100
246	359	1097
247	360	1094
248	361	1090
249	362	1087
250	363	1084
251	364	1081
252	365	1078
253	366	1075
254	367	1072
255	368	1069
256	369	1066
257	369	1063
258	370	1060
259	371	1057
260	372	1054
261	373	1050
262	373	1047
263	374	1044
264	375	1041
265	376	1037
266	376	1034
267	377	1032
268	378	1029
269	379	1026
270	380	1023
271	381	1021
272	382	1018
273	383	1015
274	384	1012
275	384	1009
276	385	1006
277	386	1003
278	387	1000
279	388	997
280	388	994
281	389	991
282	390	989
283	391	986
284	391	983
285	392	980
286	393	978
287	394	975
288	395	972
289	396	970
290	397	967
291	397	964
292	398	962
293	399	959
294	400	956
295	401	953
296	401	951
297	402	948
298	403	945
299	404	942
300	405	940
301	405	937
302	406	935
303	407	932
304	408	930
305	420	952
306	420	949
307	421	946
308	422	943
309	422	940
310	423	938
311	424	935
312	424	932
313	425	929
314	426	927
315	427	924
316	427	921
317	428	918
318	429	916
319	429	913
320	430	910
321	431	908
322	431	905
323	432	902
324	433	900
325	434	897
326	434	895
327	435	892
328	436	889
329	437	887
330	437	884
331	438	882
332	439	880
333	440	877
334	440	875
335	441	872
336	442	870
337	443	868
338	444	865
339	444	863
340	445	861
341	446	858
342	447	856
343	447	854
344	448	851
345	449	849
346	450	847
347	451	845
348	451	842
349	452	840
350	453	838
351	454	836
352	455	834
353	456	832
354	456	830
355	457	828
356	458	825
357	459	823
358	460	821
359	460	819
360	461	817
361	462	815
362	463	813
363	464	811
364	465	809
365	466	808
366	467	806
367	468	805
368	469	803
369	470	801
370	471	799
371	472	798
372	473	796
373	474	794
374	475	793
375	476	791
376	477	789
377	478	787
378	479	785
379	480	783
380	480	781
381	481	779
382	482	777
383	483	775
384	484	774
385	485	772
386	486	770
387	487	768
388	488	766
389	489	765
390	490	763
391	490	761
392	491	759
393	492	757
394	493	755
395	494	753
396	494	751
397	495	749
398	496	747
399	497	746
400	498	744
401	499	742
402	500	740
403	500	739
404	501	737
405	502	735
406	503	733
407	504	731
408	505	729
409	505	727
410	506	725
411	507	723
412	507	722
413	508	720
414	509	718
415	510	716
416	510	714
417	511	712
418	512	710
419	513	708
420	514	706
421	514	705
422	515	703
423	516	702
424	517	700
425	518	698
426	519	696
427	520	695
428	521	693
429	521	691
430	522	689
431	523	688
432	524	686
433	524	684
434	525	682
435	526	680
436	526	678
437	527	676
438	528	675
439	529	673
440	530	672
441	530	670
442	531	668
443	532	667
444	533	665
445	534	663
446	535	662
447	536	660
448	537	659
449	538	657
450	538	656
451	539	654
452	540	652
453	541	651
454	542	649
455	543	647
456	544	646
457	545	644
458	545	643
459	546	641
460	547	640
461	548	638
462	549	637
463	550	635
464	550	633
465	551	632
466	552	630
467	553	628
468	554	627
469	554	625
470	555	623
471	556	622
472	557	620
473	557	619
474	558	617
475	559	616
476	560	614
477	561	613
478	562	611
479	563	610
480	564	608
481	564	607
482	565	605
483	566	603
484	567	602
485	568	600
486	568	599
487	569	597
488	570	596
489	571	594
490	572	592
491	572	591
492	573	590
493	574	588
494	575	587
495	576	585
496	577	584
497	577	582
498	578	581
499	579	579
500	580	578
501	581	576
502	582	575
503	582	573
504	583	572
505	584	570
506	585	569
507	586	567
508	586	566
509	587	564
510	588	563
511	589	562
512	590	560
513	591	559
514	592	557
515	593	556
516	593	554
517	594	553
518	595	551
519	596	550
520	596	548
521	597	547
522	598	545
523	599	544
524	600	543
525	600	541
526	601	540
527	602	538
528	603	537
529	605	536
530	606	535
531	607	534
532	608	532
533	608	531
534	609	530
535	610	528
536	612	527
537	612	526
538	613	525
539	614	523
540	615	522
541	616	521
542	617	520
543	618	518
544	619	517
545	620	516
546	621	514
547	622	513
548	623	511
549	623	510
550	624	509
551	625	507
552	626	506
553	627	504
554	627	503
555	628	502
556	629	500
557	630	499
558	631	497
559	632	496
560	632	495
561	633	493
562	634	492
563	635	491
564	636	489
565	637	488
566	638	487
567	639	486
568	639	484
569	640	483
570	641	482
571	642	480
572	643	479
573	643	477
574	644	476
575	645	475
576	646	474
577	647	472
578	648	471
579	649	470
580	650	468
581	650	467
582	651	466
583	652	464
584	653	463
585	653	461
586	654	460
587	655	459
588	655	457
589	656	456
590	657	454
591	658	453
592	659	452
593	659	450
594	660	449
595	661	448
596	661	446
597	662	445
598	663	444
599	664	442
600	665	441
601	665	440
602	666	438
603	667	437
604	668	436
605	668	434
606	669	433
607	670	432
608	670	430
609	671	429
610	672	428
611	673	426
612	674	425
613	674	424
614	675	422
615	676	421
616	677	420
617	677	419
618	678	417
619	679	416
620	680	415
621	681	414
622	682	412
623	682	411
624	683	410
625	684	408
626	685	407
627	686	406
628	687	405
629	687	404
630	688	402
631	689	401
632	690	400
633	691	398
634	691	397
635	692	396
636	693	395
637	694	394
638	695	392
639	695	391
640	696	390
641	697	388
642	698	387
643	698	386
644	699	385
645	700	383
646	701	382
647	701	381
648	702	380
649	703	378
650	704	377
651	705	376
652	706	375
653	706	373
654	707	372
655	708	371
656	709	370
657	710	369
658	711	368
659	711	366
660	712	365
661	713	364
662	714	363
663	715	361
664	716	360
665	716	359
666	717	358
667	718	357
668	719	355
669	720	354
670	720	353
671	721	352
672	722	351
673	723	349
674	724	348
675	724	347
676	725	346
677	726	345
678	727	343
679	728	342
680	729	341
681	729	340
682	730	339
683	731	337
684	732	336
685	732	335
686	733	334
687	734	333
688	735	331
689	736	330
690	736	329
691	737	328
692	738	327
693	739	326
694	740	324
695	741	323
696	741	322
697	742	321
698	743	320
699	744	319
700	745	317
701	746	316
702	747	315
703	748	314
704	749	313
705	750	312
706	751	311
707	752	310
708	753	309
709	754	308
710	755	306
711	756	305
712	757	304
713	758	303
714	759	302
715	760	301
716	761	300
717	762	299
718	762	298
719	763	297
720	764	295
721	765	294
722	766	293
723	767	292
724	768	291
725	769	290
726	769	289
727	770	287
728	771	286
729	772	285
730	773	284
731	774	283
732	774	282
733	775	281
734	776	279
735	777	278
736	778	277
737	779	276
738	779	275
739	780	274
740	781	273
741	782	272
742	783	271
743	784	269
744	785	268
745	785	267
746	786	266
747	787	265
748	788	264
749	789	263
750	789	261
751	790	260
752	791	259
753	792	258
754	793	257
755	793	256
756	794	255
757	795	253
758	796	252
759	797	251
760	798	250
761	798	249
762	799	248
763	800	247
764	801	246
765	801	244
766	802	243
767	803	242
768	804	241
769	805	240
770	805	239
771	806	238
772	807	237
773	808	235
774	808	234
775	809	233
776	810	232
777	811	231
778	812	230
779	813	229
780	813	228
781	814	227
782	815	226
783	816	224
784	817	223
785	818	222
786	818	221
787	819	220
788	820	219
789	821	218
790	822	217
791	823	216
792	823	215
793	824	213
794	825	212
795	826	211
796	827	210
797	828	209
798	828	208
799	829	207
800	830	206
801	831	205
802	832	204
803	833	203
804	833	201
805	834	200
806	835	199
807	836	198
808	837	197
809	837	196
810	838	195
811	839	194
812	840	193
813	840	192
814	841	191
815	842	190
816	843	188
817	844	187
818	845	186
819	845	185
820	846	184
821	847	183
822	848	182
823	849	181
824	849	180
825	850	179
826	851	178
827	852	177
828	853	175
829	853	174
830	854	173
831	855	172
832	856	171
833	857	170
834	858	169
835	859	168
836	859	167
837	860	166
838	861	165
839	862	164
840	862	163
841	863	162
842	864	161
843	865	159
844	866	158
845	866	157
846	867	156
847	868	155
848	869	154
849	870	153
850	871	152
851	872	151
852	873	150
853	873	149
854	874	148
855	875	147
856	876	146
857	877	145
858	877	144
859	878	143
860	879	141
861	880	140
862	881	139
863	882	138
864	883	137
865	883	136
866	884	135
867	885	134
868	886	133
869	887	132
870	888	131
871	889	130
872	890	129
873	891	128
874	892	127
875	893	126
876	894	125
877	895	124
878	896	123
879	897	122
880	898	121
881	899	120
882	900	119
883	901	118
884	902	117
885	903	116
886	904	115
887	905	114
888	906	113
889	907	112
890	907	111
891	908	110
892	909	108
893	910	107
894	911	106
895	911	105
896	912	104
897	913	103
898	914	102
899	915	101
900	916	100
901	917	99
902	918	98
903	918	97
904	919	96
905	920	95
906	921	94
907	922	93
908	923	92
909	924	91
910	925	90
911	925	89
912	926	88
913	927	87
914	928	86
915	929	85
916	930	84
917	930	83
918	932	82
919	933	81
920	933	80
921	934	79
922	935	78
923	936	76
924	936	75
925	937	74
926	938	73
927	939	72
928	939	71
929	940	70
930	941	69
931	942	68
932	942	67
933	943	66
934	944	65
935	944	64
936	945	63
937	946	62
938	947	61
939	948	60
940	949	59
941	950	58
942	950	57
943	951	56
944	952	55
945	953	54
946	954	53
947	955	52
948	955	51
949	956	50
950	957	49
951	958	48
952	959	47
953	960	46
954	960	45
955	961	44
956	962	43
957	963	42
958	964	41
959	965	40
960	965	39
961	966	38
962	967	37
963	967	36
964	968	35
965	969	34
966	970	33
967	970	32
968	971	31
969	972	30
970	973	29
971	973	28
972	974	27
973	975	26
974	976	25
975	977	24
976	978	23
977	978	22
978	979	21
979	980	20
980	981	19
981	982	18
982	982	16
983	983	15
984	984	14
985	985	13
986	986	12
987	986	11
988	987	10
989	988	9
990	989	8
991	989	7
992	990	6
993	991	5
994	992	4
995	993	3
996	994	2
997	995	1
998	996	0
999	997	0
